genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Ccdc142os,3.344645002102972e-11,1.7844972686312677,0.061,0.018,6.714709306221927e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
1700123O20Rik,3.3534198322317556e-11,0.4711851051660578,0.575,0.442,6.732325655188474e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nbl1,3.4792889236562156e-11,0.979367011688177,0.108,0.044,6.98502044313222e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Wwp1,3.5020815785278225e-11,0.6698380910613781,0.353,0.23,7.030778977052456e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rcan3,3.512108524495554e-11,1.0810072735640146,0.123,0.053,7.050909073777273e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Efcab14,3.5216983441580016e-11,0.5857851951028084,0.387,0.257,7.070161595731604e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Atf7,3.589930986453187e-11,-0.6338587559201582,0.452,0.583,7.207145448403419e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gm38348,3.6099319170093e-11,-4.070107025034629,0.004,0.08,7.24729931658787e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Nd4,3.622023527641826e-11,-0.141866841292714,1,0.996,7.271574434093729e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Grm7,3.636748334991235e-11,-2.5382711347413576,0.032,0.127,7.301135957328403e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mcrip1,3.6462917346835816e-11,0.3409255823883566,0.845,0.789,7.320295286550758e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mrps24,3.6511722255280045e-11,0.34298229897264076,0.838,0.772,7.330093359970021e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nmral1,3.672102801993629e-11,0.4237354320632216,0.499,0.358,7.372113585282409e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
6530402F18Rik,3.7163732518364466e-11,-2.2526541108460476,0.027,0.119,7.460990940386852e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Fkbp5,3.7241736438290125e-11,-0.9493510925152712,0.173,0.305,7.476651007351126e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
