genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Clcn5,1.9725693523221944e-12,-1.0891227732012427,0.218,0.352,3.9607220025277345e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
2010320M18Rik,1.9737082076660577e-12,0.7174322754608488,0.402,0.27,3.9630087101726774e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Usp8,1.9924126798075106e-12,0.6379735073733989,0.393,0.261,4.0005654197854995e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Slc6a1,2.0059208263566433e-12,0.21163806108791697,0.319,0.182,4.027688427241504e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Efna2,2.0059592878595122e-12,-0.8560881628850155,0.251,0.388,4.027765654093114e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ube2b,2.059093606455444e-12,-0.29029269576577565,0.92,0.948,4.1344540524018855e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Lrrc20,2.069757210814566e-12,-1.130730044011734,0.139,0.27,4.155865503594567e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Adrm1,2.1350480998614997e-12,0.4308634730168171,0.693,0.566,4.286963079711906e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Dner,2.1368828234871853e-12,-1.1940437633312833,0.206,0.342,4.290647021279919e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Phykpl,2.163803592643805e-12,1.041486007541605,0.165,0.079,4.3447012336694964e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ifi30,2.1907045050468738e-12,0.975596578239618,0.101,0.038,4.3987155756836176e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Glrx,2.237692089727126e-12,0.99375459825794,0.21,0.112,4.493061946963097e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Atad3a,2.252365257215329e-12,0.5726243008057542,0.508,0.365,4.5225241999626585e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Smn1,2.257537618576153e-12,0.5008204128072886,0.601,0.472,4.5329097843390576e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rela,2.2606989527253594e-12,0.8086088598768586,0.291,0.174,4.539257427177249e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gm33680,2.262373839475542e-12,4.443202128322615,0.012,0,4.5426204322829414e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ppt2,2.2646059194029584e-12,0.8539776007472997,0.25,0.14,4.5471022255692e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
