genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Arhgap28,1.0712903671841567e-6,-2.3953135364476887,0.026,0.155,0.02160042767353415,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rps6kl1,1.0782656803630323e-6,-1.442481420704384,0.057,0.2,0.02174107091315982,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Spcs1,1.083666320404085e-6,-0.4220939478096315,0.51,0.722,0.02184996401830756,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rsrp1,1.0841961654685967e-6,0.29134483723970694,0.99,0.957,0.02186064728434331,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Rtn4r,1.1019296486144222e-6,-1.4527152533411771,0.052,0.194,0.02221820750501259,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ddx39b,1.1041134728374485e-6,-0.3976402466433364,0.901,0.936,0.02226223995282147,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Nup62,1.118317614568e-6,-1.1584425704635013,0.094,0.252,0.02254863806253458,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Tead1,1.1290337971145138e-6,0.4541556757996138,0.771,0.653,0.02276470845121994,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Smim8,1.1317013126103912e-6,-0.945985267816822,0.151,0.326,0.02281849356616331,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Cdc34,1.1360672076346754e-6,-1.5597952966039372,0.057,0.201,0.02290652310753796,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Osbpl6,1.141238693290548e-6,-1.0995551851182004,0.323,0.493,0.02301079577281732,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Gm9885,1.14460584077505e-6,-3.715816747228223,0.005,0.119,0.02307868756754733,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Knop1,1.1469547094570644e-6,-0.9714311799172204,0.177,0.351,0.02312604780678279,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Kif21a,1.1496883600585123e-6,0.35697909985962917,0.938,0.885,0.02318116640385978,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Tcof1,1.1533873383195754e-6,-0.9712279118589916,0.109,0.279,0.0232557489025376,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
